Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-09-20,LTCBTC,0.008482,0.0088,0.0069,0.008725,4906.33,40.78
2018-09-19,LTCBTC,0.008548,0.008617,0.008316,0.008482,1853.97,15.69
2018-09-18,LTCBTC,0.008341,0.008682,0.00811,0.008548,5275.61,44.15
2018-09-17,LTCBTC,0.008727,0.00885,0.00826,0.008341,3295.97,28.28
2018-09-16,LTCBTC,0.00866,0.008829,0.008525,0.008727,1295.17,11.27
2018-09-15,LTCBTC,0.008687,0.008966,0.0086,0.00866,2767.08,24.4
2018-09-14,LTCBTC,0.008416,0.008991,0.008131,0.008687,6570.34,55.8
2018-09-13,LTCBTC,0.008199,0.01016,0.008157,0.008416,4707.48,40.62
2018-09-12,LTCBTC,0.008258,0.008258,0.00759,0.008199,6623.66,52.09
2018-09-11,LTCBTC,0.00861,0.008625,0.008012,0.008258,7064.94,58.52
2018-09-10,LTCBTC,0.008729,0.00888,0.008477,0.00861,2475.77,21.35
2018-09-09,LTCBTC,0.008619,0.008868,0.008491,0.008729,2313.27,20.08
2018-09-08,LTCBTC,0.008699,0.008856,0.008477,0.008619,4017.39,34.85
2018-09-07,LTCBTC,0.00881,0.008946,0.008687,0.008699,2319.95,20.39
2018-09-06,LTCBTC,0.00863,0.008835,0.008514,0.00881,8470.59,73.03
2018-09-05,LTCBTC,0.009195,0.009252,0.008573,0.00863,8261.47,73.34
2018-09-04,LTCBTC,0.009,0.009391,0.009,0.009195,11326.66,104.22
2018-09-03,LTCBTC,0.009082,0.009082,0.008894,0.009,1237.91,11.08
2018-09-02,LTCBTC,0.00924,0.009262,0.008905,0.009082,2697.12,24.43
2018-09-01,LTCBTC,0.008842,0.009345,0.008826,0.00924,5694.54,52.02
2018-08-31,LTCBTC,0.00861,0.008901,0.008594,0.008842,2884.32,25.22
2018-08-30,LTCBTC,0.008737,0.008737,0.008552,0.00861,2744.53,23.74
2018-08-29,LTCBTC,0.008934,0.008955,0.00868,0.008737,2725.64,23.92
2018-08-28,LTCBTC,0.00877,0.008956,0.00866,0.008934,6415.66,56.66
2018-08-27,LTCBTC,0.008485,0.008885,0.008484,0.00877,3968.27,34.47
2018-08-26,LTCBTC,0.008589,0.008589,0.008469,0.008485,1430.18,12.18
2018-08-25,LTCBTC,0.008634,0.008655,0.00853,0.008589,1008.8,8.65
2018-08-24,LTCBTC,0.008752,0.008819,0.00856,0.008634,1061.53,9.22
2018-08-23,LTCBTC,0.008664,0.00886,0.008579,0.008752,1989.68,17.36
2018-08-22,LTCBTC,0.008746,0.008746,0.00839,0.008664,8017.7,68.92
2018-08-21,LTCBTC,0.008538,0.00877,0.00853,0.008746,1843.72,15.88
2018-08-20,LTCBTC,0.008891,0.008974,0.008492,0.008538,7244.79,62.74
2018-08-19,LTCBTC,0.008944,0.009121,0.008851,0.008891,2294.05,20.57
2018-08-18,LTCBTC,0.009345,0.009406,0.00876,0.008944,1554.37,14.03
2018-08-17,LTCBTC,0.008727,0.009399,0.008727,0.009345,10844.3,96.78
2018-08-16,LTCBTC,0.008673,0.008893,0.008673,0.008727,2041.21,17.9
2018-08-15,LTCBTC,0.008791,0.008993,0.008608,0.008673,14209.34,125.44
2018-08-14,LTCBTC,0.009031,0.009031,0.008349,0.008791,9928.33,85.44
2018-08-13,LTCBTC,0.009391,0.009391,0.008971,0.009031,3600.96,32.93
2018-08-12,LTCBTC,0.009123,0.009123,0.009123,0.009123,0.0,0.0
2018-08-11,LTCBTC,0.009597,0.009597,0.00907,0.009123,2979.22,27.35
2018-08-10,LTCBTC,0.009634,0.009776,0.009538,0.009597,2663.72,25.69
2018-08-09,LTCBTC,0.009845,0.01009,0.00907,0.009634,2753.62,26.83
2018-08-08,LTCBTC,0.01001,0.01021,0.009741,0.009845,4836.22,48.36
2018-08-07,LTCBTC,0.01062,0.01064,0.009953,0.01001,3210.12,32.92
2018-08-06,LTCBTC,0.0106,0.01075,0.01053,0.01062,1816.99,19.3
2018-08-05,LTCBTC,0.01041,0.01065,0.01041,0.0106,1309.54,13.81
2018-08-04,LTCBTC,0.01047,0.01069,0.01033,0.01041,2387.58,25.07
2018-08-03,LTCBTC,0.0101,0.01047,0.0101,0.01047,1764.54,18.14
2018-08-02,LTCBTC,0.0102,0.01022,0.01007,0.0101,1254.48,12.73
2018-08-01,LTCBTC,0.01022,0.0103,0.01015,0.0102,3652.44,37.35
2018-07-31,LTCBTC,0.01006,0.01022,0.0085,0.01022,4540.62,44.77
2018-07-30,LTCBTC,0.01022,0.01031,0.009054,0.01006,4684.83,47.13
2018-07-29,LTCBTC,0.01027,0.01032,0.01018,0.01022,996.42,10.2
2018-07-28,LTCBTC,0.01034,0.01034,0.01016,0.01027,1768.66,18.08
2018-07-27,LTCBTC,0.01051,0.01056,0.01024,0.01034,2310.76,24.0
2018-07-26,LTCBTC,0.01056,0.01061,0.01043,0.01051,3111.54,32.74
2018-07-25,LTCBTC,0.01064,0.01073,0.0104,0.01056,2560.81,27.13
