Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
2019-06-13,XRPUSD,0.4029,0.41,0.3953,0.3997,9622552.42,3871680.68
2019-06-12,XRPUSD,0.3939,0.4047,0.3886,0.4029,12221802.57,4844243.31
2019-06-11,XRPUSD,0.4014,0.4039,0.3832,0.3939,11628816.49,4554377.15
2019-06-10,XRPUSD,0.3854,0.405,0.3802,0.4014,17786405.72,7022046.86
2019-06-09,XRPUSD,0.4084,0.4115,0.3682,0.3854,23692762.22,9172100.6
2019-06-08,XRPUSD,0.4209,0.4228,0.4025,0.4084,8153507.44,3356791.17
2019-06-07,XRPUSD,0.4203,0.432,0.4157,0.4209,15878006.99,6709193.92
2019-06-06,XRPUSD,0.4009,0.4269,0.3916,0.4203,24559412.15,10084192.81
2019-06-05,XRPUSD,0.3975,0.406,0.3879,0.4009,19774002.47,7892897.23
2019-06-04,XRPUSD,0.4177,0.4435,0.384,0.3975,34883999.04,14020166.23
2019-06-03,XRPUSD,0.4451,0.4646,0.4172,0.4177,31575566.08,13916717.56
2019-06-02,XRPUSD,0.4293,0.4475,0.4284,0.4451,10302319.98,4531988.14
2019-06-01,XRPUSD,0.4384,0.4417,0.4174,0.4293,12689401.51,5473647.75
2019-05-31,XRPUSD,0.419,0.4415,0.4061,0.4384,18649254.1,7884781.5
2019-05-30,XRPUSD,0.4443,0.478,0.4,0.419,52378414.45,23254576.73
2019-05-29,XRPUSD,0.4491,0.4575,0.4203,0.4443,23824408.86,10560750.93
2019-05-28,XRPUSD,0.4344,0.46,0.39,0.4491,37790360.19,16515093.02
2019-05-27,XRPUSD,0.41,0.4477,0.4064,0.4344,27066491.2,11443052.59
2019-05-26,XRPUSD,0.3878,0.4158,0.3763,0.41,20564751.71,8154479.49
2019-05-25,XRPUSD,0.384,0.398,0.3823,0.3878,6953240.87,2698821.7
2019-05-24,XRPUSD,0.3801,0.3955,0.3715,0.384,18773787.22,7278225.2
2019-05-23,XRPUSD,0.3719,0.3849,0.3612,0.3801,18889999.53,7046015.09
2019-05-22,XRPUSD,0.3975,0.4134,0.3647,0.3719,25573016.95,9915269.73
2019-05-21,XRPUSD,0.3997,0.4092,0.3877,0.3975,14188255.25,5645081.79
2019-05-20,XRPUSD,0.4188,0.4188,0.38,0.3997,21565882.62,8573060.62
2019-05-19,XRPUSD,0.3721,0.4297,0.3705,0.4188,27071364.13,10970963.23
2019-05-18,XRPUSD,0.3903,0.395,0.3632,0.3721,14084000.97,5329660.82
