Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-10-20,DOGEBTC,7.3e-07,7.3e-07,6.9e-07,6.9e-07,146056.68,0.1032
2018-10-19,DOGEBTC,7.1e-07,7.6e-07,6.1e-07,7.3e-07,474669.72,0.3215
2018-10-18,DOGEBTC,7.2e-07,7.7e-07,6.6e-07,7.1e-07,189734.92,0.1301
2018-10-17,DOGEBTC,7.6e-07,7.9e-07,6.8e-07,7.2e-07,176278.32,0.1275
2018-10-16,DOGEBTC,7.6e-07,8.4e-07,7.6e-07,7.6e-07,68654.54,0.05443
2018-10-15,DOGEBTC,8.2e-07,8.3e-07,7.6e-07,7.6e-07,77599.9,0.06183
2018-10-14,DOGEBTC,8.4e-07,8.4e-07,8.2e-07,8.2e-07,75250.34,0.06229
2018-10-13,DOGEBTC,8.4e-07,8.5e-07,7.6e-07,8.4e-07,85928.98,0.06887
2018-10-12,DOGEBTC,8.1e-07,8.8e-07,8.0e-07,8.4e-07,86219.9,0.07228
2018-10-11,DOGEBTC,8.4e-07,8.7e-07,7.7e-07,8.1e-07,468065.4,0.388
2018-10-10,DOGEBTC,8.5e-07,9.1e-07,8.4e-07,8.4e-07,76883.75,0.06578
2018-10-09,DOGEBTC,8.4e-07,8.6e-07,8.3e-07,8.5e-07,42038.43,0.03522
2018-10-08,DOGEBTC,8.6e-07,8.8e-07,8.4e-07,8.4e-07,20333.83,0.01751
2018-10-07,DOGEBTC,8.2e-07,8.6e-07,8.2e-07,8.6e-07,13453.47,0.01141
2018-10-06,DOGEBTC,8.8e-07,8.8e-07,8.1e-07,8.2e-07,125922.79,0.1072
2018-10-05,DOGEBTC,8.7e-07,9.1e-07,8.5e-07,8.8e-07,6812.45,0.005988
2018-10-04,DOGEBTC,8.8e-07,9.1e-07,8.5e-07,8.7e-07,61598.65,0.05376
2018-10-03,DOGEBTC,9.0e-07,9.0e-07,8.8e-07,8.8e-07,7432.04,0.006573
2018-10-02,DOGEBTC,9.2e-07,9.6e-07,8.9e-07,9.0e-07,175257.87,0.1591
2018-10-01,DOGEBTC,9.0e-07,9.6e-07,8.8e-07,9.2e-07,170931.0,0.1557
2018-09-30,DOGEBTC,8.8e-07,9.1e-07,8.8e-07,9.0e-07,20795.61,0.01855
2018-09-29,DOGEBTC,8.8e-07,9.1e-07,8.8e-07,8.8e-07,77292.18,0.06872
2018-09-28,DOGEBTC,8.8e-07,9.1e-07,8.6e-07,8.8e-07,63342.63,0.05577
2018-09-27,DOGEBTC,8.8e-07,9.2e-07,8.8e-07,8.8e-07,185130.4,0.1649
2018-09-26,DOGEBTC,8.8e-07,9.0e-07,8.8e-07,8.8e-07,85789.04,0.07616
2018-09-25,DOGEBTC,8.6e-07,9.0e-07,8.6e-07,8.8e-07,63688.61,0.05643
2018-09-24,DOGEBTC,9.0e-07,9.0e-07,8.6e-07,8.6e-07,66710.92,0.05935
2018-09-23,DOGEBTC,8.1e-07,9.0e-07,8.1e-07,9.0e-07,54449.34,0.0477
2018-09-22,DOGEBTC,8.4e-07,8.9e-07,8.1e-07,8.1e-07,137963.97,0.1198
2018-09-21,DOGEBTC,8.6e-07,9.0e-07,8.2e-07,8.4e-07,121188.35,0.1056
2018-09-20,DOGEBTC,8.6e-07,9.2e-07,8.6e-07,8.6e-07,50982.51,0.04526
2018-09-19,DOGEBTC,9.0e-07,9.3e-07,8.6e-07,8.6e-07,42426.62,0.03847
2018-09-18,DOGEBTC,9.8e-07,1.01e-06,6.0e-07,9.0e-07,379445.46,0.3324
2018-09-17,DOGEBTC,1.0e-06,1.01e-06,9.2e-07,9.8e-07,213255.46,0.2048
2018-09-16,DOGEBTC,9.6e-07,1.0e-06,9.3e-07,1.0e-06,132969.81,0.128
2018-09-15,DOGEBTC,9.5e-07,9.7e-07,9.4e-07,9.6e-07,141871.49,0.135
2018-09-14,DOGEBTC,1.01e-06,1.02e-06,9.4e-07,9.5e-07,215687.62,0.2096
2018-09-13,DOGEBTC,9.9e-07,1.06e-06,9.7e-07,1.01e-06,359373.63,0.3564
2018-09-12,DOGEBTC,9.9e-07,1.05e-06,9.7e-07,9.9e-07,191372.69,0.1942
2018-09-11,DOGEBTC,1.09e-06,1.09e-06,9.0e-07,9.9e-07,247609.77,0.2502
2018-09-10,DOGEBTC,9.0e-07,1.09e-06,9.0e-07,1.09e-06,378665.97,0.381
2018-09-09,DOGEBTC,8.7e-07,9.5e-07,8.7e-07,9.0e-07,206465.62,0.1922
2018-09-08,DOGEBTC,8.2e-07,9.0e-07,8.2e-07,8.7e-07,424034.97,0.3779
2018-09-07,DOGEBTC,7.6e-07,8.5e-07,7.6e-07,8.2e-07,123630.4,0.1012
2018-09-06,DOGEBTC,7.1e-07,7.9e-07,7.1e-07,7.6e-07,298452.02,0.2309
2018-09-05,DOGEBTC,7.3e-07,7.8e-07,6.8e-07,7.1e-07,808725.2,0.5913
2018-09-04,DOGEBTC,7.2e-07,7.3e-07,6.8e-07,7.3e-07,347637.3,0.2459
2018-09-03,DOGEBTC,6.7e-07,7.6e-07,6.5e-07,7.2e-07,435039.63,0.316
2018-09-02,DOGEBTC,8.9e-07,9.0e-07,6.2e-07,6.7e-07,1625379.33,1.164
2018-09-01,DOGEBTC,7.1e-07,9.4e-07,5.9e-07,8.9e-07,3715859.61,2.995
2018-08-31,DOGEBTC,4.5e-07,7.1e-07,4.5e-07,7.1e-07,3390811.45,1.888
2018-08-30,DOGEBTC,3.7e-07,4.6e-07,3.7e-07,4.5e-07,2218662.55,0.932
2018-08-29,DOGEBTC,3.8e-07,3.8e-07,3.6e-07,3.7e-07,91276.71,0.03299
2018-08-28,DOGEBTC,3.5e-07,3.8e-07,3.5e-07,3.8e-07,602704.62,0.2236
2018-08-27,DOGEBTC,3.6e-07,3.7e-07,3.5e-07,3.5e-07,58380.95,0.02157
2018-08-26,DOGEBTC,3.7e-07,3.7e-07,3.6e-07,3.6e-07,162870.92,0.05987
2018-08-25,DOGEBTC,3.5e-07,3.7e-07,3.5e-07,3.7e-07,279558.87,0.1034
2018-08-24,DOGEBTC,3.7e-07,3.8e-07,3.5e-07,3.5e-07,255009.8,0.09268
2018-08-23,DOGEBTC,3.6e-07,3.8e-07,3.6e-07,3.7e-07,274654.73,0.1007
2018-08-22,DOGEBTC,3.7e-07,3.8e-07,3.6e-07,3.6e-07,53614.45,0.02
2018-08-21,DOGEBTC,3.7e-07,3.8e-07,3.7e-07,3.7e-07,206463.66,0.07819
2018-08-20,DOGEBTC,3.8e-07,3.9e-07,3.7e-07,3.7e-07,127517.57,0.04788
2018-08-19,DOGEBTC,3.8e-07,3.8e-07,3.7e-07,3.8e-07,206270.02,0.07792
2018-08-18,DOGEBTC,3.8e-07,3.9e-07,3.7e-07,3.8e-07,549196.31,0.2067
2018-08-17,DOGEBTC,3.7e-07,3.8e-07,3.6e-07,3.8e-07,268647.83,0.09892
2018-08-16,DOGEBTC,3.6e-07,3.7e-07,3.6e-07,3.7e-07,259148.26,0.09445
2018-08-15,DOGEBTC,3.5e-07,3.8e-07,3.5e-07,3.6e-07,502239.99,0.1853
2018-08-14,DOGEBTC,3.7e-07,3.7e-07,3.5e-07,3.5e-07,692571.56,0.2514
2018-08-13,DOGEBTC,3.9e-07,3.9e-07,3.7e-07,3.7e-07,487490.69,0.1847
2018-08-12,DOGEBTC,3.8e-07,4.0e-07,3.8e-07,3.9e-07,291394.11,0.1145
2018-08-11,DOGEBTC,4.0e-07,4.0e-07,3.8e-07,3.8e-07,468105.58,0.1817
2018-08-10,DOGEBTC,3.9e-07,4.0e-07,3.9e-07,4.0e-07,279403.69,0.1105
2018-08-09,DOGEBTC,3.9e-07,3.9e-07,3.8e-07,3.9e-07,367197.35,0.1414
2018-08-08,DOGEBTC,3.9e-07,4.0e-07,3.8e-07,3.9e-07,415270.95,0.1629
2018-08-07,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,304844.26,0.1201
2018-08-06,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.0e-07,350885.38,0.1416
2018-08-05,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.1e-07,140447.72,0.05694
2018-08-04,DOGEBTC,3.9e-07,4.1e-07,3.7e-07,4.1e-07,856059.21,0.3311
2018-08-03,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,217137.05,0.08585
2018-08-02,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,4.0e-07,233932.9,0.09356
2018-08-01,DOGEBTC,3.8e-07,4.1e-07,3.8e-07,4.0e-07,82926.82,0.03334
2018-07-31,DOGEBTC,3.9e-07,4.1e-07,3.8e-07,3.8e-07,454619.0,0.1778
2018-07-30,DOGEBTC,4.1e-07,4.2e-07,3.9e-07,3.9e-07,423363.84,0.1658
2018-07-29,DOGEBTC,4.3e-07,4.3e-07,4.0e-07,4.1e-07,308628.36,0.1291
2018-07-28,DOGEBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,122749.62,0.05113
2018-07-27,DOGEBTC,4.3e-07,4.3e-07,4.1e-07,4.2e-07,60339.42,0.02517
2018-07-26,DOGEBTC,4.4e-07,4.5e-07,4.2e-07,4.3e-07,722554.99,0.3109
2018-07-25,DOGEBTC,4.3e-07,4.4e-07,4.2e-07,4.4e-07,163175.69,0.06942
2018-07-24,DOGEBTC,4.5e-07,4.5e-07,4.3e-07,4.3e-07,161519.67,0.07098
2018-07-23,DOGEBTC,4.8e-07,4.8e-07,4.4e-07,4.5e-07,184916.35,0.08631
2018-07-22,DOGEBTC,4.7e-07,5.1e-07,4.7e-07,4.8e-07,279467.39,0.1333
2018-07-21,DOGEBTC,4.6e-07,5.0e-07,4.6e-07,4.7e-07,38118.26,0.01815
