Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2016-11-02,ETHBTC,0.01466,0.0155,0.01455,0.01471,74949.8,1124.65
2016-11-01,ETHBTC,0.01566,0.01577,0.014,0.01466,236944.46,3483.27
2016-10-31,ETHBTC,0.0161,0.01649,0.01536,0.01566,97990.27,1560.4
2016-10-30,ETHBTC,0.01444,0.01639,0.01441,0.0161,156051.75,2377.55
2016-10-29,ETHBTC,0.01605,0.01613,0.01319,0.01444,292687.53,4244.36
2016-10-28,ETHBTC,0.0167,0.0169,0.01551,0.01605,147558.99,2397.47
2016-10-27,ETHBTC,0.01705,0.01707,0.01626,0.0167,110925.58,1846.83
2016-10-26,ETHBTC,0.0174,0.01756,0.01605,0.01705,117155.81,2015.1
2016-10-25,ETHBTC,0.01827,0.01827,0.01676,0.0174,145284.09,2539.35
2016-10-24,ETHBTC,0.01838,0.01845,0.01826,0.01827,20755.37,381.03
2016-10-23,ETHBTC,0.01848,0.0185,0.01804,0.01838,32467.56,593.86
2016-10-22,ETHBTC,0.01916,0.01922,0.01826,0.01848,48016.48,896.9
2016-10-21,ETHBTC,0.01908,0.01925,0.01893,0.01916,26001.45,496.36
2016-10-20,ETHBTC,0.019,0.0195,0.019,0.01908,37657.11,722.76
2016-10-19,ETHBTC,0.01965,0.01983,0.01884,0.019,61951.23,1195.43
2016-10-18,ETHBTC,0.0188,0.0203,0.01873,0.01965,164870.52,3253.24
2016-10-17,ETHBTC,0.01852,0.01886,0.01843,0.0188,41816.39,779.67
2016-10-16,ETHBTC,0.0188,0.01881,0.01852,0.01852,20099.2,374.82
2016-10-15,ETHBTC,0.01866,0.01887,0.01827,0.0188,23655.19,437.98
2016-10-14,ETHBTC,0.01897,0.0191,0.0183,0.01866,44343.75,828.03
2016-10-13,ETHBTC,0.01843,0.01906,0.018,0.01897,76776.65,1432.25
2016-10-12,ETHBTC,0.01829,0.01891,0.01806,0.01843,98045.44,1816.56
2016-10-11,ETHBTC,0.01894,0.02018,0.01811,0.01829,135318.81,2551.77
2016-10-10,ETHBTC,0.01946,0.01955,0.01878,0.01894,78562.58,1504.37
2016-10-09,ETHBTC,0.01972,0.02006,0.01931,0.01946,46114.68,912.44
2016-10-08,ETHBTC,0.02045,0.0205,0.01934,0.01972,96665.78,1917.34
2016-10-07,ETHBTC,0.02097,0.0215,0.02021,0.02045,67924.98,1400.58
2016-10-06,ETHBTC,0.0213,0.0215,0.02046,0.02097,97008.68,2032.21
2016-10-05,ETHBTC,0.02173,0.02188,0.02121,0.0213,65997.65,1419.65
2016-10-04,ETHBTC,0.022,0.02211,0.02155,0.02173,52061.37,1137.04
2016-10-03,ETHBTC,0.02159,0.0221,0.02142,0.022,54599.52,1190.63
2016-10-02,ETHBTC,0.02151,0.022,0.0213,0.02159,40917.84,885.8
2016-10-01,ETHBTC,0.02171,0.02173,0.0212,0.02151,47858.95,1027.7
2016-09-30,ETHBTC,0.02164,0.022,0.0215,0.02171,39295.99,859.54
2016-09-29,ETHBTC,0.02193,0.02209,0.02135,0.02164,46408.88,1006.24
2016-09-28,ETHBTC,0.02157,0.02231,0.02143,0.02193,41699.92,914.46
2016-09-27,ETHBTC,0.0211,0.02198,0.02104,0.02157,49210.54,1066.44
