Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2018-12-02,LTCUSD,33.77,34.67,32.74,33.32,14140.53,475173.91
2018-12-01,LTCUSD,31.65,37,30.96,33.77,19480.2,645930.72
2018-11-30,LTCUSD,33.48,34.11,30.72,31.6,23270.73,753509.02
2018-11-29,LTCUSD,34.36,35.42,32.79,33.48,22066.32,747378.2
2018-11-28,LTCUSD,30.8,35.93,30.7,34.36,30034.31,1010113.24
2018-11-27,LTCUSD,29.05,31.6,28.22,30.8,23412.87,693686.41
2018-11-26,LTCUSD,30.39,31.73,27.55,29.05,39480.09,1174576.76
2018-11-25,LTCUSD,28.59,32.21,26.33,30.39,52958.52,1515088.06
2018-11-24,LTCUSD,31.77,32.9,27.88,28.59,28602.74,845717.02
2018-11-23,LTCUSD,31.38,32.77,30.31,31.77,22876.91,719110.03
2018-11-22,LTCUSD,34.37,34.54,31.1,31.38,16985.17,565457.92
2018-11-21,LTCUSD,32.33,34.37,31,34.37,26853.26,881844.92
2018-11-20,LTCUSD,35.81,37.45,30.23,32.33,65478.39,2176356.94
2018-11-19,LTCUSD,41.8,41.8,35,35.81,37166.54,1394101.1
2018-11-18,LTCUSD,41.44,43.01,41.44,41.8,6294.67,264173.1
2018-11-17,LTCUSD,41.74,41.8,41.12,41.44,8535.33,353959.69
2018-11-16,LTCUSD,43.38,43.57,41.35,41.74,11047.26,467951.73
2018-11-15,LTCUSD,42.75,43.67,39.66,43.38,22673.07,954422.47
2018-11-14,LTCUSD,48.91,49.91,40.22,42.75,45284.75,1952774.63
2018-11-13,LTCUSD,50.23,50.42,48.23,48.91,5002.96,247599.15
2018-11-12,LTCUSD,50.89,51.25,49.94,50.23,2839.78,143312.3
2018-11-11,LTCUSD,51.75,51.88,49.5,50.89,5230.6,265035.15
2018-11-10,LTCUSD,51.65,52.35,51.52,51.75,2677.81,139012.35
2018-11-09,LTCUSD,52.12,52.5,51.11,51.65,4734.28,245485.02
2018-11-08,LTCUSD,53.88,54.46,51.9,52.12,6816.73,361486.2
2018-11-07,LTCUSD,55.91,56.33,53.2,53.88,6072.04,333678.27
2018-11-06,LTCUSD,53.48,56.01,53.41,55.91,7190.48,391201.88
2018-11-05,LTCUSD,54.04,54.63,52.7,53.48,8077.71,430357.36
2018-11-04,LTCUSD,50.66,55.81,50.48,54.04,11799.63,633750.26
2018-11-03,LTCUSD,51.05,51.24,50.29,50.66,2523.65,128408.2
2018-11-02,LTCUSD,50.15,51.62,50.15,51.05,5250.11,267045.03
2018-11-01,LTCUSD,49.42,50.33,49.41,50.15,3501.96,174131.47
2018-10-31,LTCUSD,48.86,50.27,47.83,49.42,6283.32,308902.06
2018-10-30,LTCUSD,48.52,49.19,48.44,48.86,2927.56,142873.13
2018-10-29,LTCUSD,51.41,51.54,47.4,48.52,12936.23,634422.55
2018-10-28,LTCUSD,51.53,51.72,51.17,51.41,2392.58,123085.41
2018-10-27,LTCUSD,51.61,51.79,51.33,51.53,2297.16,118376.66
