date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-04-19,34300,1377,17855520,12966.9716775599,0.52592626,23303888.20248495248450880669,44310182.0892709432511639054,20541.0663406989,1.99751615662837,0.0004478436557833581465126587298,1,0.000224200267065313,27993.19141899,6.27608099214798618147849387,13770000,4.83542378204277,3087.23767748936001,13770000,3087.23767748936001,60.40747383,31.459634679671257,5.123772647574511E-7,0.000224200267065313,111.59159908406305,6.071031560694243,103942285651.6766324,14014,50901,1720685853.23976625,385778.2278318615634002376031,518212.679767843,116.1834212005819233677581299,16.56,0.00371275642260158328,26377543612.86298708,5913852.322530822843740470635,0.06514167943309983,0.04639943099230564,0.03971982199978276
2016-04-20,28353,1384,10594367,7654.88945086705,0.53413502,23671923.89150714825313209019,44318239.85020072314852956206,20251.66991696,1.50731111964874,0.0003432308955482117475802239587,1,0.000227710716834755,20683.32318382,4.7098143487125592594296641,13840000.0000001,4.85935770338952,3151.516320993031971071683476,13840000.0000001,3151.516320993031971071683476,57.848907,31.912173245122304,5.144125657510219E-7,0.000227710716834755,106.34515405674972,7.890059127488429,103956125651.67663249,13722,41056,1797028345.77795268,409202.6127894715785567937694,431789.944134858,98.32319770098733055462138979,20,0.0045542143366951,17727567946.40072077,4036757.204811733730550504986,0.06505614129775471,0.04645987643458061,0.0398009675110765
2016-04-21,38318,1383,11286341,8160.76717281273,0.53907796,23895520.0051472797051634672,44326649.98599027094053184738,21312.9261739235,1.48455528814589,0.000341196842532896060096435395,1,0.000229831010847045,20473.50197882,4.7054456553711766918495869,13829999.9999999,4.85520068596717,3178.562880014609366898915296,13829999.9999999,3178.562880014609366898915296,66.77969497,32.338183921848426,5.082904734073638E-7,0.000229831010847045,110.56413433331578,6.722211656321962,103969955651.67663241,13791,55123,1556909711.88379907,357826.1328798351297977732832,479110.518703647,110.1144548211112500088006731,19.5,0.0044817047115173775,26410009122.50112675,6069839.093104113864259484408,0.0650570696822314,0.04635992844699957,0.03979314546367716
2016-04-22,26850,1373,9132375,6651.40203932993,0.53330509,23640310.82979201200035734795,44327930.36833839139096566527,19461.560748314,1.40828372768145,0.000320168157632435707024959534,1,0.00022734634458892,17559.88980046,3.9921767575188408195269032,13730000,4.81945794534279,3121.4653112058716,13730000,3121.4653112058716,91.13422776,32.15539167435587,5.073172998246649E-7,0.00022734634458892,104.14188356874345,6.693540212573625,103983685651.6766324,12469,37727,1140994862.25542432,259401.0111285090076001505705,685563.073819867,155.8602588180906824502440736,18.96,0.0043104866934059232,25864238086.00213756,5880139.984430110644059459492,0.0650550204364947,0.04636250639202297,0.039796460092398574
2016-04-23,41940,1381,9551821,6916.59739319334,0.54000809,23942135.45180486024812012971,44336623.72742558020278549102,19545.3653190271,1.47296620189602,0.0003391038995769943157127377308,1,0.000230218384604138,18132.21394534,4.17436900379279859906981692,13810000.0000001,4.84689556071899,3179.315891383168801838460414,13810000.0000001,3179.315891383168801838460414,91.96697634,32.66188199366002,5.071842197545299E-7,0.000230218384604138,120.00433241290067,9.555565436664072,103997495651.67663248,12310,56849,1130813470.06556352,260334.0503670937958022210938,415608.648562813,95.68075169963970907963272019,28.45,0.0065497130419877261,23626936062.14735139,5439355.053372816705599530334,0.06505123164637236,0.04629782950773007,0.03981425403234988
2016-04-24,59424,1389,21852009,15732.1879049676,0.53581155,23751398.61389386485476479006,44327896.16825282433976752848,20533.3810663808,2.03464914848428,0.000464619932349597186095408072,1,0.0002283538332374,33585.95349403,7.669481223294798476472722,13890000,4.87432214101868,3171.834743667486,13890000,3171.834743667486,35.77644845,32.42798414278936,4.927973115137346E-7,0.0002283538332374,128.9882130028264,5.491078468993236,104011385651.67663247,16507,81520,2907258549.97660412,663883.6340993627908900377781,309255.087168775,70.619584603156046858442185,38.6775,0.0088321553850395385,25210474705.99851712,5756908.536849276171872168924,0.06505475552005724,0.04606186568804281,0.03981503438987552
2016-04-25,40205,1379,11441764,8297.1457577955,0.5317855,23569185.49014637844767439719,44320850.36562769994443078591,21148.6815696835,1.50007191213076,0.0003398741979917877472317376396,1,0.00022657193648071,21613.03610998,4.8969074446656801097084858,13790000,4.83858832101753,3124.4270040689909,13790000,3124.4270040689909,49.51603336,33.70908238471803,4.869205727644659E-7,0.00022657193648071,132.09498320121602,7.237064906314964,104025175651.67663245,14408,52830,2100838225.57057205,475990.9850002231574100184902,867133.834606411,196.4681920947182439153438318,13.7,0.003104035529785727,45810680482.2567154,10379414.58836396987180464006,0.064987866594156,0.04583893143248261,0.0396931692626358
2016-04-26,36908,1388,9864665,7107.10734870317,0.55244645,24496670.08369806776568727924,44342162.50834889539990521968,20484.6978927084,1.39243821362901,0.0003278586038439695311980908126,1,0.000235456482474361,19794.90164495,4.66083791224586940510012695,13880000.0000001,4.86951747905297,3268.135976744154225648247436,13880000.0000001,3268.135976744154225648247436,48.37536047,41.5851281953347,5.013886031560493E-7,0.000235456482474361,124.60654210936977,9.10647946163762,104039055651.67663249,14216,54160,2150662127.33597213,506387.3394933542671650657356,613679.23803363,144.4947547549446145225307604,16.88,0.00397450542416721368,33236867531.90141756,7825835.917527804268790912255,0.0647730016183023,0.04619126854608242,0.03999550847548531
2016-04-27,27576,1380,10300924,7464.43768115942,0.52621384,23322482.33052323873086003573,44321301.91785584461639173245,20564.9953561345,1.52510953657773,0.0003418391546890088100992795617,1,0.000224140723331964,20120.77011607,4.50988396781209504942106148,13799999.9999999,4.84080899890113,3093.141981981080785927666804,13799999.9999999,3093.141981981080785927666804,55.88210082,40.87704003243104,5.028495616598485E-7,0.000224140723331964,122.78071800243112,4.734574201176977,104052855651.67663244,13193,32041,1862006870.25941822,417351.56674903244606897057,456611.052873922,102.3451316725305364818446428,92,0.020620946546540688,14630274745.13333709,3279240.363919551432248759184,0.06472213501150349,0.047129005576318335,0.04002996322287759
2016-04-28,41666,1374,18050056,13136.8675400291,0.53667323,23796686.15013699347736103954,44341108.61786339398285875142,18680.6693115505,1.88261203153224,0.0004304928721488617864724373579,1,0.000228667864083758,27939.84515997,6.38894471556126375498876726,13740000,4.81912564602972,3141.89645251083492,13740000,3141.89645251083492,37.49908523,43.206966771296976,5.06956575102279E-7,0.000228667864083758,131.25193983009368,-11.114638265114916,104066595651.67663244,14841,51587,2775176914.39414344,634593.7774690629025302368262,487113.906050355,111.3872964620310408346856341,25.4,0.0058081637477274532,25128745071.41965196,5746136.462586792691008580649,0.06461924533342324,0.032449843811080806,0.04012750988416223
