date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-08-29,4882,23224,34458498092.93602692732557165,0.00167242335219444,0.000576338937601211172443800405,0.000012,0.000004135356781606608,899.414227,309.949893591492929367668,624.41267147,279.3541776268309,0.00004899645831275617,0.344613065133884,57.01367933776034,-22.736283009894407,99991850510.800332,537791,13516,160137446.083577,55185456.13757355796495862307,12084.1376811613,4164.351725804861041689099489,478.645339,164.947437384836987566676,163329204.898576,56285377.92597845676408094918,0.05464174756177683,0.06671860344442898,0.0521139789898973
2018-08-30,5953,23525,33423507451.86939019868973104,0.00191909225838444,0.0006414802270858787530257810892,0.000012,0.000004011147818141268,893.976504,298.822658624096545397256,671.36619219,273.31075561981726,0.00004797819114242983,0.334262318178439,44.39394561567223,-22.932472571303734,99991849616.823828,465833,13665,148937868.453046,49784317.17367055442952107519,11090.1609817352,3707.022918726880849613447353,600.75,200.80808764569722925,151547049.815411,50656468.18440265700471012343,0.05467361925432581,0.06674564658302186,0.05221697470020149
2018-08-31,5836,23791,33539988184.41505088345307929,0.00195469769836625,0.000655658821056379375451488285,0.000012,0.000004025126677773552,804.848732,269.968175228784659194672,664.78903627,274.70836160249866,0.00004774669058462279,0.335427223147796,28.849932479453628,-24.930977765622305,99991848811.975096,411751,13249,150411398.740255,50452077.80921963605007972798,11550.0993188533,3874.217741604212442315142327,499.98,167.70690302943504408,153027265.875487,51329510.85851408596993447665,0.05400719500235035,0.06639537788976846,0.05160517075984149
2018-09-01,5733,23709,34644335405.52145786882410731,0.0017496203028291,0.0006061937425954132707413223795,0.000012,0.00000415765917861294,753.62795,261.11068029806281797275,938.19309025,284.36694401375564,0.00004817222124989513,0.346471598217745,36.455019882185105,-19.534692456115916,99991848058.347146,430738,13806,106579177.673968,36926658.02543269900348216216,7885.85359632377,2732.224298829448708615979299,457.1465,158.3882784746483646425,108872094.750846,37721088.66963937974343096227,0.05395448009566117,0.06661452402671579,0.051841381239112756
2018-09-02,5341,23725,34137079790.36648157064126026,0.00147089349141172,0.0005021610238610876059707976715,0.000012,0.000004096783568298708,635.830484,217.071656589551213684556,1009.68824177,282.3573937798375,0.000046852503844146795,0.341398630691559,49.55425121567781,-22.46743619561235,99991847422.516662,432275,11513,99032397.611852,33809524.93878829042281475727,8786.89135211952,2999.832675649105520838023132,499.75,170.61396568810661025,101163480.136952,34537073.59474814033579038817,0.053855273340741854,0.0663897101326693,0.05178716170443778
2018-09-03,5356,23922,33529774172.29833403100049314,0.00160064552588619,0.0005367365914316431569393613709,0.000012,0.000004023900978084312,640.259811,214.695173309248061932086,862.96839144,278.3278880359467,0.00004620412783290886,0.335325081507026,44.72308398708659,-21.84459821624141,99991846782.256851,400001,11119,115869651.512363,38854000.33757382140411036244,10659.5625026579,3574.418665032998370262524405,500,167.662540753513,118523675.467053,39743961.13650184513365101438,0.053752075604718945,0.06633315954490862,0.05172481098757781
2018-09-04,5745,23438,33095548755.80139556287946233,0.00157935842194219,0.0005227399609347770539620785004,0.000012,0.000003971789711611728,812.028712,268.767273654576910994528,79.63642994,284.8929854109832,0.000044977708277211586,0.330982475967644,55.86187920731884,-23.807969480768605,99991845970.228139,514151,13117,1255604326.37233,415583028.7783995477049768905,95889.4446120339,31737.72579685324074806943113,751.065375,248.5894774310670287265,1257781844.976048,416303749.2773237383588029909,0.05363512341386732,0.0662229502483206,0.05172828274087538
2018-09-05,6581,23391,28179495677.17566558253768341,0.00214135457034079,0.0006034721332483940368216490035,0.000012,0.0000033818152767798,1221.066758,344.1185180143652554907,253.14488968,241.7642845265426,0.00004149936688785708,0.28181793973165,28.16355083737301,-31.771291222362535,99991844749.161381,570231,17741,394998472.524246,111317655.7239317676713585859,22404.2748971504,6313.92659269645042952569016,1005.776365,283.44582301508801245225,397474240.950346,112015371.6810279394482146509,0.05483617781717344,0.07145968188093874,0.05538561076578972
2018-09-06,6197,23041,30134252511.8137279985776978,0.00164746371410849,0.0004964913707908801360274303899,0.000012,0.000003616405264934544,1011.949644,304.968335034186457008528,331.66092914,257.84180630930996,0.00004644938011563711,0.301367105411212,29.646347376601494,-20.29092545474245,99991843737.211737,614247,17015,301488161.408601,90858614.51945835529925863441,17990.7987317864,5421.834937834171174467349117,1257.499,378.968833687493678788,306113440.421346,92252521.46724854428587253135,0.054930714943692636,0.07141917623672547,0.056248581708046044
2018-09-07,5874,23324,28750713765.31862697800909234,0.00158724981415061,0.0004563828783746878630128112118,0.000012,0.000003450367101430068,828.430121,238.199002944344208856519,444.33249682,245.57417691963533,0.000044865990381959655,0.287530591785839,25.835917280119475,-12.56530945136744,99991842908.781616,521928,12570,225038329.686281,64705404.10919311648440837476,18440.7451384821,5302.278362639591774800734982,979.99993,281.77995982298079499127,231800166.39072,66649639.01837966947183701408,0.05487251837069023,0.06741022140845691,0.056476493766463395
2018-09-08,5449,23975,27605677450.50388851348351068,0.00159460713337268,0.0004402380153129962384232782885,0.000012,0.000003312951556025232,648.494829,179.035996067488895460444,996.9728666,236.95995494521097,0.00004461678142321244,0.276079296335436,28.755940685499965,-20.07407916570133,99991842260.286787,406680,10257,100295449.966977,27689497.25252893796331489697,9943.14846906279,2745.097432697622792864386026,684.75,189.045298165689801,101986873.847177,28156464.36717950676319366417,0.054879146476021747,0.06693881536142783,0.05612656691191562
