Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-07-20,XRPBTC,3.033e-05,3.152e-05,3.033e-05,3.097e-05,4787290.44,148.39
2019-07-19,XRPBTC,3.014e-05,3.078e-05,2.981e-05,3.033e-05,5070739.89,152.99
2019-07-18,XRPBTC,3.208e-05,3.292e-05,3.014e-05,3.014e-05,7119253.86,222.83
2019-07-17,XRPBTC,3.134e-05,3.355e-05,3.1e-05,3.208e-05,11092504.13,356.01
2019-07-16,XRPBTC,2.88e-05,3.205e-05,2.871e-05,3.134e-05,10183188.74,312.43
2019-07-15,XRPBTC,2.982e-05,3.106e-05,2.85e-05,2.88e-05,7944481.5,236.97
2019-07-14,XRPBTC,2.917e-05,3.05e-05,2.896e-05,2.982e-05,7894243.35,233.75
2019-07-13,XRPBTC,2.921e-05,2.991e-05,2.88e-05,2.917e-05,2985900.91,87.43
2019-07-12,XRPBTC,2.899e-05,3.02e-05,2.821e-05,2.921e-05,4956206.03,145.81
2019-07-11,XRPBTC,2.984e-05,3.044e-05,2.773e-05,2.899e-05,11040133.38,317.02
2019-07-10,XRPBTC,3.13e-05,3.14e-05,2.799e-05,2.984e-05,18686154.63,553.18
2019-07-09,XRPBTC,3.268e-05,3.32e-05,3.118e-05,3.13e-05,9008845.72,287.04
2019-07-08,XRPBTC,3.473e-05,3.475e-05,3.231e-05,3.268e-05,4939531.96,164.62
2019-07-07,XRPBTC,3.464e-05,3.56e-05,3.42e-05,3.473e-05,2417436.89,84.28
2019-07-06,XRPBTC,3.455e-05,3.598e-05,3.336e-05,3.464e-05,4692038.93,162.58
2019-07-05,XRPBTC,3.465e-05,3.502e-05,3.348e-05,3.455e-05,5601516.18,192.31
2019-07-04,XRPBTC,3.383e-05,3.5e-05,3.297e-05,3.465e-05,8644651.82,291.18
2019-07-03,XRPBTC,3.674e-05,3.674e-05,3.368e-05,3.383e-05,9784491.44,342.58
2019-07-02,XRPBTC,3.827e-05,3.996e-05,3.64e-05,3.674e-05,8912166.39,342.66
