Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-11,BCHUSD,465.4,477.65,425.32,440.36,1520.94,685599.94
2018-09-10,BCHUSD,476.14,487.97,459.34,465.4,892.49,418426.45
2018-09-09,BCHUSD,474.32,494.38,461.8,476.14,1226.59,590307.9
2018-09-08,BCHUSD,498.51,506.7,462.84,474.32,2161.83,1045425.85
2018-09-07,BCHUSD,516.86,530,491.62,498.51,2638.9,1332274.03
2018-09-06,BCHUSD,526.33,527.73,487.95,516.86,2559.09,1293616.92
2018-09-05,BCHUSD,627.29,632.83,524.24,526.33,3197.98,1820552.24
2018-09-04,BCHUSD,628.16,649.96,621.93,627.29,1643.3,1048061.27
2018-09-03,BCHUSD,650.68,655,623.78,628.16,1056.36,669659.1
2018-09-02,BCHUSD,619.47,659.2,601.95,650.68,2989.32,1916811.94
2018-09-01,BCHUSD,545.15,634.11,543.08,619.47,2732.99,1644256.07
2018-08-31,BCHUSD,538.83,549,532.07,545.15,740.64,399445.3
2018-08-30,BCHUSD,557.47,557.9,525.14,538.83,1326.94,708355.89
2018-08-29,BCHUSD,567,569.38,546,557.47,1140.2,633480.83
2018-08-28,BCHUSD,548.45,574.2,540.91,567,1723.6,959199.95
2018-08-27,BCHUSD,524.75,555,519.99,548.45,756.35,404888.16
2018-08-26,BCHUSD,537.2,537.2,516.22,524.75,311.7,162602.07
2018-08-25,BCHUSD,534.56,544,526.96,537.2,451.35,241067.16
2018-08-24,BCHUSD,529.77,538.34,520.23,534.56,764.13,405117.49
2018-08-23,BCHUSD,518,538.05,513.47,529.77,901.44,472923.06
2018-08-22,BCHUSD,535.74,574.99,508,518,2074.2,1113402.51
2018-08-21,BCHUSD,513.89,542.12,510.3,535.74,1007.29,530346.32
2018-08-20,BCHUSD,571.04,576.2,505.51,513.89,1428.55,764626.17
2018-08-19,BCHUSD,554.91,581.74,540,571.04,1360.88,768951.91
2018-08-18,BCHUSD,603.24,609.21,536.5,554.91,1895.18,1082779.39
2018-08-17,BCHUSD,516.04,604.34,515.01,603.24,1901.47,1047895.75
2018-08-16,BCHUSD,511.01,540,504.5,516.04,1535.36,804962.99
2018-08-15,BCHUSD,508.52,540.53,504.09,511.01,2334.42,1216729.7
2018-08-14,BCHUSD,532.68,532.68,472.3,508.52,3894.05,1908329.18
2018-08-13,BCHUSD,571.67,592.11,523,532.68,1234.48,685690.7
2018-08-12,BCHUSD,544.8,544.8,544.8,544.8,0.0,0.0
2018-08-11,BCHUSD,570.74,571.93,539.89,544.8,592.63,326691.72
2018-08-10,BCHUSD,608.58,612.47,557.05,570.74,1754.84,1018659.36
2018-08-09,BCHUSD,587.36,619.73,575.94,608.58,1026.53,616780.92
2018-08-08,BCHUSD,656.92,656.92,565.85,587.36,3591.92,2157966.54
2018-08-07,BCHUSD,690.61,713.1,647.15,656.92,1567.51,1063544.99
2018-08-06,BCHUSD,710.83,716,681.29,690.61,1005.55,697952.72
2018-08-05,BCHUSD,694.38,716,687.9,710.83,875.8,612307.64
2018-08-04,BCHUSD,726.57,734.99,690,694.38,1014.45,713190.89
2018-08-03,BCHUSD,732,732,701,726.57,1189.9,850449.13
2018-08-02,BCHUSD,765.07,771.94,722.76,732,1070.43,796900.88
2018-08-01,BCHUSD,776.47,777.62,733.96,765.07,1615.5,1220391.31
2018-07-31,BCHUSD,817.14,817.14,761,776.47,1692.19,1320358.37
2018-07-30,BCHUSD,831.39,833.14,785,817.14,1735.15,1403800.26
2018-07-29,BCHUSD,819.5,839.98,814.04,831.39,994.68,822392.72
2018-07-28,BCHUSD,820,827.22,800,819.5,1249.62,1012475.14
2018-07-27,BCHUSD,806,830.39,781,820,1608.87,1289634.76
2018-07-26,BCHUSD,832.25,865,791.98,806,2124.37,1753489.4
2018-07-25,BCHUSD,869.74,878.5,812,832.25,3192.6,2693663.99
2018-07-24,BCHUSD,781.96,880,774.64,869.74,4055.85,3398624.1
2018-07-23,BCHUSD,785.99,830,778.63,781.96,2912.64,2319761.48
2018-07-22,BCHUSD,786.39,828.34,777.61,785.99,2412.04,1945364.1
2018-07-21,BCHUSD,764,804.5,742.68,786.39,1897.3,1497689.66
2018-07-20,BCHUSD,824.13,824.13,761.12,764,4109.48,3290493.59
2018-07-19,BCHUSD,825.82,845,804.78,824.13,1567.21,1285133.52
2018-07-18,BCHUSD,856.46,892.15,804.5,825.82,5031.84,4318662.58
2018-07-17,BCHUSD,804.79,874.89,780.96,856.46,6258.27,5172413.51
2018-07-16,BCHUSD,724.49,811.79,716.39,804.79,2743.14,2141058.79
2018-07-15,BCHUSD,702.03,732.89,697.2,724.49,656.36,472762.62
2018-07-14,BCHUSD,693.76,709.33,687,702.03,612.25,427396.83
2018-07-13,BCHUSD,684.89,712.4,684.89,693.76,1419.58,992226.66
2018-07-12,BCHUSD,705.29,705.64,663.17,684.89,4120.33,2794625.93
2018-07-11,BCHUSD,687.42,710.81,684.53,705.29,686.17,477561.71
2018-07-10,BCHUSD,727.53,736.65,684.53,687.42,1704.33,1206219.99
2018-07-09,BCHUSD,748.75,758.77,726.31,727.53,2194.67,1635597.83
2018-07-08,BCHUSD,773.3,781,741.1,748.75,2421.44,1857020.24
2018-07-07,BCHUSD,733.42,775,710,773.3,3462.67,2529204.55
2018-07-06,BCHUSD,744.72,745.44,697.83,733.42,2995.59,2137248.67
2018-07-05,BCHUSD,764.54,785.94,714.63,744.72,1710.7,1283303.91
2018-07-04,BCHUSD,756.79,810,737.56,764.54,2217.84,1704943.78
2018-07-03,BCHUSD,783.36,834.83,750.79,756.79,2116.27,1649108.65
2018-07-02,BCHUSD,739.48,797.15,720.99,783.36,3150.45,2453019.24
2018-07-01,BCHUSD,747.98,754,716.66,739.48,1295.07,953075.5
2018-06-30,BCHUSD,715.38,781.02,714.64,747.98,2964.74,2223832.61
2018-06-29,BCHUSD,660.42,739.99,644.88,715.38,3974.11,2646893.3
2018-06-28,BCHUSD,713.91,722.57,647.69,660.42,1555.36,1063443.35
2018-06-27,BCHUSD,696.83,723,686.74,713.91,1306.97,918454.56
2018-06-26,BCHUSD,754.89,757.93,692,696.83,1171.81,862683.96
2018-06-25,BCHUSD,747.27,779.05,732.51,754.89,1255.29,948015.34
2018-06-24,BCHUSD,761.22,772.96,660,747.27,2847.78,2041708.67
2018-06-23,BCHUSD,749.57,776.76,732,761.22,1694.26,1279531.26
2018-06-22,BCHUSD,871,874.82,719.03,749.57,4895.22,3781978.15
2018-06-21,BCHUSD,890.74,904.73,867,871,1532.53,1351079.09
2018-06-20,BCHUSD,906.06,908.4,863.49,890.74,2510.81,2223653.46
2018-06-19,BCHUSD,884.2,927.87,872.68,906.06,1583.67,1416532.99
2018-06-18,BCHUSD,847.47,900,825,884.2,1617.69,1394701.44
2018-06-17,BCHUSD,849.2,862.87,842.79,847.47,1122.55,954028.31
2018-06-16,BCHUSD,843.09,860.44,827.46,849.2,1422.0,1203287.4
2018-06-15,BCHUSD,897.63,898.99,835.23,843.09,2075.1,1791943.29
2018-06-14,BCHUSD,841.04,907,828.26,897.63,2101.63,1839692.88
2018-06-13,BCHUSD,867.05,883,801.72,841.04,4478.6,3747167.65
2018-06-12,BCHUSD,953.28,959.26,845.18,867.05,2600.66,2327232.67
2018-06-11,BCHUSD,932.4,979,893.26,953.28,3711.38,3453773.2
2018-06-10,BCHUSD,1086.89,1086.89,894.31,932.4,5823.38,5736968.76
2018-06-09,BCHUSD,1115.21,1138.49,1080.18,1086.89,962.22,1068041.26
2018-06-08,BCHUSD,1144.25,1150,1085.59,1115.21,2140.39,2414639.76
2018-06-07,BCHUSD,1131.8,1169.72,1127.75,1144.25,1268.78,1455705.56
2018-06-06,BCHUSD,1153.56,1157.6,1094.73,1131.8,1579.74,1780950.64
2018-06-05,BCHUSD,1097.49,1161.41,1048,1153.56,3372.82,3701150.3
2018-06-04,BCHUSD,1167.37,1210.36,1075,1097.49,2856.69,3227612.46
2018-06-03,BCHUSD,1082.27,1193.29,1074.01,1167.37,3502.22,3959215.42
2018-06-02,BCHUSD,1001.29,1099.42,994.47,1082.27,1678.29,1761918.89
2018-06-01,BCHUSD,995.59,1012.04,974.29,1001.29,1122.24,1112135.85
2018-05-31,BCHUSD,982.05,1032.07,971.03,995.59,2797.55,2807561.2
2018-05-30,BCHUSD,982.51,1028.41,947.07,982.05,2209.68,2173182.93
2018-05-29,BCHUSD,883.71,1008,870,982.51,2839.7,2711684.73
2018-05-28,BCHUSD,995,1004.3,871,883.71,1789.61,1665591.67
2018-05-27,BCHUSD,1005,1008.98,976.08,995,3300.21,3253559.61
2018-05-26,BCHUSD,1013,1045.45,995,1005,1199.08,1223246.16
2018-05-25,BCHUSD,1068.37,1074,985.71,1013,3408.8,3500282.36
2018-05-24,BCHUSD,992.21,1080.98,945,1068.37,3242.68,3301293.29
2018-05-23,BCHUSD,1135.18,1152.82,969,992.21,5766.99,5954519.03
2018-05-22,BCHUSD,1226.22,1229.57,1121.7,1135.18,3366.11,3964723.46
2018-05-21,BCHUSD,1294.06,1305.38,1208.25,1226.22,2264.32,2824551.32
2018-05-20,BCHUSD,1175.63,1312.59,1163.47,1294.06,1918.9,2406642.46
2018-05-19,BCHUSD,1201.31,1215.22,1150.66,1175.63,1517.92,1799518.9
2018-05-18,BCHUSD,1192.47,1220.21,1131.57,1201.31,2387.17,2823190.35
2018-05-17,BCHUSD,1280.36,1340.71,1157.95,1192.47,2125.53,2641230.65
2018-05-16,BCHUSD,1333.5,1353.64,1213.65,1280.36,3248.18,4115013.85
2018-05-15,BCHUSD,1411.03,1454.73,1306.59,1333.5,2196.52,3053239.91
2018-05-14,BCHUSD,1483.11,1494.83,1325.25,1411.03,3210.66,4506209.0
2018-05-13,BCHUSD,1455.37,1497,1399.84,1483.11,1824.77,2677701.57
2018-05-12,BCHUSD,1353.1,1505,1263.98,1455.37,3413.46,4757018.13
2018-05-11,BCHUSD,1520,1555.61,1315,1353.1,4379.48,6196532.93
2018-05-10,BCHUSD,1623.78,1669.73,1510,1520,1951.47,3130043.86
2018-05-09,BCHUSD,1602.56,1676.4,1460.8,1623.78,4136.07,6436281.91
2018-05-08,BCHUSD,1650.84,1694.89,1550.88,1602.56,2847.42,4544043.69
2018-05-07,BCHUSD,1760.27,1790,1569.92,1650.84,2554.3,4190888.29
2018-05-06,BCHUSD,1762,1849.99,1681.45,1760.27,4375.38,7608559.73
2018-05-05,BCHUSD,1516.26,1762,1513.89,1762,4823.3,8000233.53
2018-05-04,BCHUSD,1514.22,1540.6,1461.77,1516.26,1028.39,1543811.71
2018-05-03,BCHUSD,1456.27,1542.48,1449.16,1514.22,2835.19,4257376.94
2018-05-02,BCHUSD,1351.14,1490,1323.37,1456.27,3534.33,5066507.66
2018-05-01,BCHUSD,1345,1363,1236.06,1351.14,2984.38,3847426.95
2018-04-30,BCHUSD,1438.9,1445,1328,1345,1002.08,1391896.68
2018-04-29,BCHUSD,1398.72,1485.32,1370.4,1438.9,2950.06,4206860.15
2018-04-28,BCHUSD,1346.16,1418.85,1325.25,1398.72,2440.62,3388458.07
2018-04-27,BCHUSD,1424.95,1428,1325.25,1346.16,3540.49,4903641.71
2018-04-26,BCHUSD,1292.66,1428.42,1242,1424.95,5875.46,7893040.0
2018-04-25,BCHUSD,1403.5,1442.5,1230,1292.66,8246.02,10854078.76
2018-04-24,BCHUSD,1440,1569.84,1391.5,1403.5,6788.92,10141846.0
2018-04-23,BCHUSD,1187.83,1450.68,1187.83,1440,5418.77,7441725.44
2018-04-22,BCHUSD,1149.47,1259.12,1106.03,1187.83,4806.51,5762168.69
2018-04-21,BCHUSD,1121.69,1191.36,1014.32,1149.47,4529.02,5001267.15
2018-04-20,BCHUSD,967.59,1149,940,1121.69,3273.66,3458702.75
2018-04-19,BCHUSD,894.4,985,876.95,967.59,1620.79,1513831.7
2018-04-18,BCHUSD,762.9,900,755.11,894.4,2020.71,1711354.62
2018-04-17,BCHUSD,769,787.38,751.5,762.9,927.86,715000.01
2018-04-16,BCHUSD,776.96,804.98,739.6,769,1532.17,1174802.15
2018-04-15,BCHUSD,733.43,786,733.43,776.96,908.89,691171.72
2018-04-14,BCHUSD,743,760.81,715.68,733.43,742.73,548914.35
2018-04-13,BCHUSD,736.83,785.65,722.01,743,2543.46,1924605.29
2018-04-12,BCHUSD,670.47,740.23,651.95,736.83,4347.32,3034617.4
2018-04-11,BCHUSD,644.8,670.5,644.8,670.47,1434.9,934994.95
2018-04-10,BCHUSD,638.3,660.77,626.21,644.8,1127.16,725656.04
2018-04-09,BCHUSD,652.69,679.93,623,638.3,1788.24,1170664.34
2018-04-08,BCHUSD,639.67,660.56,636.54,652.69,1109.74,719403.06
2018-04-07,BCHUSD,603.64,656.59,603.64,639.67,1373.91,878210.4
2018-04-06,BCHUSD,640.31,647,597.93,603.64,771.61,476475.48
2018-04-05,BCHUSD,648.7,657.36,615.02,640.31,1024.21,652206.82
2018-04-04,BCHUSD,712,712,635,648.7,1616.97,1079239.74
2018-04-03,BCHUSD,662.75,721.36,658.78,712,1640.78,1137460.86
2018-04-02,BCHUSD,641.96,686.48,636.25,662.75,902.63,600126.73
2018-04-01,BCHUSD,682.81,697.19,623.23,641.96,1795.35,1169044.03
2018-03-31,BCHUSD,698.27,735.34,679.84,682.81,2267.87,1592059.33
2018-03-30,BCHUSD,708,770,670.45,698.27,4705.53,3316135.24
2018-03-29,BCHUSD,860.3,869.31,693.74,708,3991.07,2993994.53
2018-03-28,BCHUSD,877.51,900.09,848.81,860.3,540.43,470996.26
2018-03-27,BCHUSD,913.44,928.41,867.98,877.51,3330.57,2985972.78
2018-03-26,BCHUSD,972.31,978.6,881.44,913.44,1241.32,1141681.94
2018-03-25,BCHUSD,972.37,993.34,963.5,972.31,1069.31,1041703.71
2018-03-24,BCHUSD,1027.18,1032.33,968.5,972.37,838.05,846364.44
2018-03-23,BCHUSD,1010,1027.18,960.1,1027.18,1516.7,1497933.03
2018-03-22,BCHUSD,1034.08,1065.53,986,1010,1778.64,1813171.79
2018-03-21,BCHUSD,1054,1083.11,1005,1034.08,2520.8,2597602.47
2018-03-20,BCHUSD,996.54,1075.56,950.7,1054,2123.76,2168005.21
2018-03-19,BCHUSD,934.07,999.75,904.7,996.54,2617.93,2533956.54
2018-03-18,BCHUSD,952.48,952.48,844.68,934.07,3070.8,2773366.08
2018-03-17,BCHUSD,973.65,1030.26,921.13,952.48,3275.29,3168534.92
2018-03-16,BCHUSD,937.99,1062.13,894,973.65,2046.85,2027162.23
2018-03-15,BCHUSD,940.94,955,867.55,937.99,1375.84,1256397.71
2018-03-14,BCHUSD,1057.06,1070.9,909.44,940.94,2453.84,2429088.58
2018-03-13,BCHUSD,1047.33,1100.63,992.25,1057.06,1689.67,1767666.64
2018-03-12,BCHUSD,1136.19,1149.58,1008.88,1047.33,2336.19,2547495.2
2018-03-11,BCHUSD,999.99,1156.55,963.57,1136.19,1885.61,2053994.38
2018-03-10,BCHUSD,1064.87,1086.33,986,999.99,1420.35,1471416.32
2018-03-09,BCHUSD,1034.8,1077,920,1064.87,2630.73,2585664.91
2018-03-08,BCHUSD,1093.38,1111.06,992.05,1034.8,2035.44,2122644.66
2018-03-07,BCHUSD,1202,1217.41,1030,1093.38,4299.39,4901570.2
2018-03-06,BCHUSD,1260,1267.69,1172.35,1202,2027.19,2469850.25
2018-03-05,BCHUSD,1291.25,1291.91,1260,1260,583.89,747508.95
2018-03-04,BCHUSD,1261.39,1291.25,1216.57,1291.25,598.7,748241.54
2018-03-03,BCHUSD,1273.79,1299,1246.28,1261.39,918.37,1174831.91
2018-03-02,BCHUSD,1283,1303,1251.72,1273.79,1923.4,2461716.54
2018-03-01,BCHUSD,1197.94,1309,1185.49,1283,2495.94,3188662.62
2018-02-28,BCHUSD,1232.53,1276.81,1196.68,1197.94,1037.58,1277923.84
2018-02-27,BCHUSD,1242.88,1295.75,1216.69,1232.53,1526.27,1918868.59
2018-02-26,BCHUSD,1168.96,1271.58,1137.96,1242.88,1836.06,2206161.12
2018-02-25,BCHUSD,1179.71,1200,1132,1168.96,1533.62,1783767.74
2018-02-24,BCHUSD,1259.95,1299,1130,1179.71,2003.15,2357332.21
2018-02-23,BCHUSD,1211.99,1309,1146.1,1259.95,4312.55,5315948.96
2018-02-22,BCHUSD,1286.75,1340,1171,1211.99,3847.41,4692764.51
2018-02-21,BCHUSD,1380.5,1404.88,1252.73,1286.75,6614.52,8743293.65
2018-02-20,BCHUSD,1512.52,1550,1374.99,1380.5,5115.47,7653097.92
2018-02-19,BCHUSD,1445.9,1547,1445.9,1512.52,1348.5,2035050.34
2018-02-18,BCHUSD,1538.76,1630,1390,1445.9,2855.21,4301167.1
2018-02-17,BCHUSD,1530,1550.46,1495.9,1538.76,1892.25,2896136.56
2018-02-16,BCHUSD,1357,1548,1350,1530,3899.88,5771874.23
2018-02-15,BCHUSD,1353.41,1392,1305,1357,2278.31,3074343.41
2018-02-14,BCHUSD,1218.47,1379.9,1218.47,1353.41,3091.02,4026606.06
2018-02-13,BCHUSD,1277.77,1287.64,1192.33,1218.47,1336.49,1634169.6
2018-02-12,BCHUSD,1203.01,1295,1203.01,1277.77,1109.68,1401286.92
2018-02-11,BCHUSD,1237.06,1300.86,1182.27,1203.01,1722.69,2114097.05
2018-02-10,BCHUSD,1297.5,1384.77,1190.03,1237.06,2664.39,3419066.37
2018-02-09,BCHUSD,1286.85,1346,1191.59,1297.5,3970.86,5053980.33
2018-02-08,BCHUSD,947.78,1360,940.02,1286.85,10410.5,12708909.03
2018-02-07,BCHUSD,964.19,1050,894.67,947.78,4711.09,4545989.05
2018-02-06,BCHUSD,890.78,976.55,758.57,964.19,10554.02,9273108.55
2018-02-05,BCHUSD,1154.95,1162.72,831.39,890.78,5184.69,4886236.86
2018-02-04,BCHUSD,1275.44,1290,1095,1154.95,1763.21,2093820.25
2018-02-03,BCHUSD,1191.05,1320.01,1063.02,1275.44,3969.05,4609073.08
2018-02-02,BCHUSD,1272.34,1273.23,992.2,1191.05,5953.65,6900374.1
2018-02-01,BCHUSD,1493.86,1506.27,1218.8,1272.34,3915.83,5228720.6
2018-01-31,BCHUSD,1469.04,1523.9,1401,1493.86,2360.63,3472168.7
2018-01-30,BCHUSD,1660,1660,1458,1469.04,2265.36,3513552.84
2018-01-29,BCHUSD,1768.99,1790,1632.17,1660,1534.88,2602416.93
2018-01-28,BCHUSD,1626.16,1790,1626.16,1768.99,2662.11,4608946.44
2018-01-27,BCHUSD,1590,1669.99,1559.27,1626.16,1389.47,2260383.0
2018-01-26,BCHUSD,1630.08,1678.1,1480.85,1590,2193.02,3439337.74
2018-01-25,BCHUSD,1650.79,1700,1600,1630.08,3531.26,5837493.56
2018-01-24,BCHUSD,1613.47,1679.2,1550,1650.79,3794.0,6168188.13
2018-01-23,BCHUSD,1595.55,1690.94,1480,1613.47,2924.05,4610507.76
2018-01-22,BCHUSD,1761.54,1807.86,1500,1595.55,5939.77,9479142.71
2018-01-21,BCHUSD,2016.9,2025.09,1692,1761.54,4869.63,8992907.62
2018-01-20,BCHUSD,1738,2208,1728.77,2016.9,9041.3,18161558.96
2018-01-19,BCHUSD,1688.43,1831.48,1671.55,1738,2391.01,4193884.24
2018-01-18,BCHUSD,1734,1878.73,1659,1688.43,5475.21,9685406.3
2018-01-17,BCHUSD,1710.15,1870,1340.57,1734,13177.8,21458173.74
2018-01-16,BCHUSD,2378,2404.18,1512.02,1710.15,13398.54,26104583.05
2018-01-15,BCHUSD,2514.98,2549.2,2331.9,2378,2590.88,6300484.92
2018-01-14,BCHUSD,2654.43,2724.05,2410.5,2514.98,2430.07,6172843.45
2018-01-13,BCHUSD,2595.87,2853.27,2550.45,2654.43,3706.58,9989665.14
2018-01-12,BCHUSD,2437,2623.85,2353,2595.87,3250.3,8200938.35
2018-01-11,BCHUSD,2840,2960,2300,2437,9465.73,23935205.41
2018-01-10,BCHUSD,2354.25,2938,2270.8,2840,10696.02,28015154.73
2018-01-09,BCHUSD,2385.39,2489,2306.25,2354.25,3435.58,8201541.5
2018-01-08,BCHUSD,2523.82,2560.33,2150.14,2385.39,5948.55,14087032.28
2018-01-07,BCHUSD,2536.53,2755,2486.1,2523.82,5138.07,13509551.86
2018-01-06,BCHUSD,2390,2640.3,2320,2536.53,4995.96,12347557.02
2018-01-05,BCHUSD,2350,2525.23,2301.11,2390,4517.15,10785244.1
2018-01-04,BCHUSD,2559,2560,2298,2350,6383.35,15350343.64
2018-01-03,BCHUSD,2554.38,2777,2503,2559,5009.1,13029158.24
2018-01-02,BCHUSD,2302,2700,2299.55,2554.38,4169.94,10448504.89
2018-01-01,BCHUSD,2360,2408.58,2240,2302,2115.16,4949487.93
2017-12-31,BCHUSD,2202.62,2480,2140,2360,3120.89,7321241.04
2017-12-30,BCHUSD,2594,2628.14,2055,2202.62,7870.48,17929573.63
2017-12-29,BCHUSD,2467.88,2872.32,2287.33,2594,6093.93,15742406.8
2017-12-28,BCHUSD,2702,2725,2255,2467.88,5894.18,14320821.55
2017-12-27,BCHUSD,2922,2922,2560.84,2702,5607.55,15561112.2
2017-12-26,BCHUSD,2726,2923,2693.74,2922,7693.79,21666108.89
2017-12-25,BCHUSD,2775,2875.74,2560,2726,9707.21,26735007.71
2017-12-24,BCHUSD,2885,2892,2360,2775,14501.0,38257120.3
2017-12-23,BCHUSD,2456,3156.07,2403.5,2885,16651.2,48373900.44
2017-12-22,BCHUSD,2993.62,3131.8,1812,2456,30357.76,72769962.28
2017-12-21,BCHUSD,3709.44,3729,2755,2993.62,15923.96,51255404.99
2017-12-20,BCHUSD,2667.82,4212,2665,3709.44,50386.35,173325726.36
2017-12-19,BCHUSD,2139.16,2800,2052,2667.82,26173.25,62517357.63
2017-12-18,BCHUSD,1825,2315,1745,2139.16,21214.36,43562732.61
2017-12-17,BCHUSD,1777.7,1910.2,1770.8,1825,7981.42,14664826.4
2017-12-16,BCHUSD,1799,1868,1735,1777.7,8317.03,14837599.47
2017-12-15,BCHUSD,1932.9,1933.22,1626,1799,11532.61,20137995.94
2017-12-14,BCHUSD,1550,1980,1545,1932.9,30831.01,55700762.97
2017-12-13,BCHUSD,1526.07,1604.01,1431.62,1550,17084.31,26050384.24
2017-12-12,BCHUSD,1384.1,1559.82,1372.42,1526.07,13394.21,19813319.22
2017-12-11,BCHUSD,1287,1432,1287,1384.1,8761.66,12078418.47
2017-12-10,BCHUSD,1369.24,1377,1182,1287,6950.7,8905178.01
2017-12-09,BCHUSD,1382,1486.43,1290,1369.24,9364.34,13057304.38
2017-12-08,BCHUSD,1230,1575,1136.23,1382,31384.16,43262890.33
2017-12-07,BCHUSD,1347,1361.75,1211,1230,12767.35,16218913.79
2017-12-06,BCHUSD,1430,1461.12,1300.75,1347,11886.52,16620903.43
2017-12-05,BCHUSD,1533.65,1585,1419.6,1430,10867.78,16413529.56
2017-12-04,BCHUSD,1505.44,1544.61,1431.67,1533.65,6560.7,9860121.26
2017-12-03,BCHUSD,1391.5,1625,1374,1505.44,20697.48,31861630.71
2017-12-02,BCHUSD,1418,1469,1365.47,1391.5,8982.71,12746140.36
2017-12-01,BCHUSD,1317.51,1450,1239.93,1418,13048.2,17637610.37
2017-11-30,BCHUSD,1335,1418,1163,1317.51,19187.02,24706834.97
2017-11-29,BCHUSD,1482,1635.15,1280,1335,39183.01,57793877.43
2017-11-28,BCHUSD,1584.27,1594.5,1470,1482,15663.6,24074961.75
2017-11-27,BCHUSD,1717.03,1724.9,1553,1584.27,15756.44,25760952.83
2017-11-26,BCHUSD,1545.93,1730,1525,1717.03,16408.92,26601049.02
2017-11-25,BCHUSD,1619.66,1641.83,1506.23,1545.93,18522.12,29287124.63
2017-11-24,BCHUSD,1660,1757,1525.61,1619.66,31391.34,52149270.07
2017-11-23,BCHUSD,1296,1670,1292.15,1660,43102.47,64500290.15
