Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2019-01-28,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-27,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-26,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-25,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-24,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-23,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-22,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-21,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-20,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-19,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-18,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-17,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-16,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-15,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-14,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-13,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-12,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-11,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-10,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-09,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-08,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-07,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-06,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-05,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-04,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-03,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-02,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-01-01,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-31,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-30,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-29,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-28,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-27,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-26,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-25,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-24,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-23,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-22,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-21,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-20,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-19,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-18,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
