Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2018-11-22,XMRBTC,0.01491,0.01532,0.01481,0.0151,12322.2,186.47
2018-11-21,XMRBTC,0.01484,0.01537,0.01459,0.01491,26341.98,394.67
2018-11-20,XMRBTC,0.0149,0.0157,0.0147,0.01484,32386.29,485.19
2018-11-19,XMRBTC,0.01588,0.01595,0.01466,0.0149,38789.46,583.54
2018-11-18,XMRBTC,0.01585,0.01643,0.01575,0.01588,18843.7,302.86
2018-11-17,XMRBTC,0.01557,0.01589,0.0153,0.01585,17207.62,267.06
2018-11-16,XMRBTC,0.01568,0.01588,0.01556,0.01557,9873.51,154.9
2018-11-15,XMRBTC,0.01583,0.0161,0.01503,0.01568,15023.37,234.36
2018-11-14,XMRBTC,0.01651,0.01655,0.01466,0.01583,44301.33,693.03
2018-11-13,XMRBTC,0.01645,0.0173,0.01634,0.01651,19803.4,327.23
2018-11-12,XMRBTC,0.01665,0.01672,0.01643,0.01645,11730.42,194.54
2018-11-11,XMRBTC,0.01638,0.01665,0.0161,0.01665,15174.28,247.39
2018-11-10,XMRBTC,0.01675,0.01678,0.01631,0.01638,12218.75,201.93
2018-11-09,XMRBTC,0.01686,0.01695,0.0165,0.01675,12669.45,211.67
2018-11-08,XMRBTC,0.01706,0.01717,0.01679,0.01686,15172.28,257.99
2018-11-07,XMRBTC,0.01743,0.01748,0.01681,0.01706,10538.52,179.17
2018-11-06,XMRBTC,0.01739,0.01769,0.01714,0.01743,12971.04,225.75
2018-11-05,XMRBTC,0.01744,0.01759,0.01706,0.01739,20141.5,349.18
2018-11-04,XMRBTC,0.01677,0.0176,0.01659,0.01744,17735.31,303.36
2018-11-03,XMRBTC,0.01657,0.017,0.0164,0.01677,15238.36,254.44
2018-11-02,XMRBTC,0.01636,0.01666,0.01625,0.01657,13406.5,221.13
2018-11-01,XMRBTC,0.01649,0.0165,0.01614,0.01636,14616.24,238.2
2018-10-31,XMRBTC,0.01631,0.0167,0.01627,0.01649,15570.91,256.06
2018-10-30,XMRBTC,0.016,0.01634,0.01598,0.01631,11417.76,184.66
2018-10-29,XMRBTC,0.01617,0.01622,0.01592,0.016,13828.55,222.08
2018-10-28,XMRBTC,0.01607,0.01626,0.01576,0.01617,14560.3,231.88
2018-10-27,XMRBTC,0.0162,0.01625,0.01602,0.01607,10215.25,164.9
2018-10-26,XMRBTC,0.01646,0.01648,0.01616,0.0162,12509.9,203.97
2018-10-25,XMRBTC,0.01647,0.01651,0.01622,0.01646,9550.07,156.19
2018-10-24,XMRBTC,0.01679,0.01689,0.01645,0.01647,9293.0,154.62
2018-10-23,XMRBTC,0.0164,0.0171,0.01637,0.01679,24075.56,403.64
2018-10-22,XMRBTC,0.01622,0.01641,0.01615,0.0164,9448.42,153.33
