date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-02-27,52322,132,9580466,72579.2878787879,1.95160097,21052607976.84709520428441652,10787352680.76741657771393757,355273768801.737,0.000068746062975597,0.08518026531737053906094927799,0.0000067,0.008301679440595289,1.30995623,1623.1099556224945871941,1650,3.5445577954026,2044443.4443257055,1650,2044443.4443257055,108.67830851,35.0770246935411,0.1162984939641838,1239.05663292467,,-28.303602390755138,16990835.94520979,19055,47739,156340.63667843,193714902.8720746393652038681,10.3438741638122,12816.64589280963093556262697,0.05396343,66.8637458768661248181,493806.20870623,611853858.2768382082217496941,0.10210637778920105,0.09851007687520213,0.09646263843749381
2018-02-28,51939,149,9580110,64296.0402684564,1.88667776,20378877441.33891611308970077,10801461654.33797387209469536,353002631886.537,0.000057151323985979,0.06854001622378229274693692711,0.00000472,0.0056605666153179448,1.14131194,1368.7441239889316306146,1862.5,4.00061533600414,2233645.195133405125,1862.5,2233645.195133405125,115.78706299,34.185675958807806,0.1163548736809432,1199.27258799109,,-26.736410499734504,16992698.44520979,19970,51328,146758.17838098,176003060.3958159192068654682,5.12842014364109,6150.373697970087523961077888,0.03151357,37.7933606507383740913,263231.54913281,315686381.1694088113095066629,0.10204207011484824,0.09826213425052889,0.09470604471260476
2018-03-01,52310,153,9856052,64418.6405228758,2.02089017,21845021354.63575824172315807,10809603474.44756068417346688,353226141579.232,0.0000635484126821785,0.08168568474859300964405814558,0.00000452,0.0058100474815979812,1.24268921,1597.3635652587355741201,1912.5,4.10755210725645,2458344.205432774125,1912.5,2458344.205432774125,102.8576978,36.81716960886271,0.11767229697999347,1285.40873486681,,-11.45012024573256,16994610.94520979,19555,47595,165224.49276122,212381006.2092102070658331082,6.92939868910579,8907.10960235120519367364983,0.04327048,55.6202529538796047688,329804.73060799,423933881.5239055147229718119,0.10193962259350743,0.09704576278572376,0.09502569165998578
2018-03-02,48226,143,8979719,62795.2377622378,2.00284631,21652746452.99220417849670644,10810987495.93366234292123929,358338028027.292,0.0000725476766387301,0.0924229008325474783311436404,0.00000522,0.0066500757115678566,1.30709149,1665.1834043000076473947,1787.5,3.83868089526861,2277205.044909491125,1787.5,2277205.044909491125,128.87929265,36.606582188031815,0.11566679694598815,1273.96086428503,,-12.763351243077825,16996398.44520979,18017,44144,131878.42744333,168007955.4062553060112923499,5.72571294484347,7294.334211860771346626814254,0.04221909,53.7854683857274672227,252755.87223717,322001089.4483817123786405651,0.10190489433915009,0.09703075113432315,0.09500908150800609
2018-03-03,48752,138,9237396,66937.652173913,1.99358968,21554689246.67023215943290048,10811998804.44640850516956234,343917122738.389,0.000070665460112264,0.08960824635157378947010050552,0.00000522,0.0066192881955641046,1.24632672,1580.4206409027067118496,1725,3.70408534818256,2187408.45543066675,1725,2187408.45543066675,131.71196893,36.647037994672324,0.11098357471562226,1268.06287271343,,0.5873321452962632,16998123.44520979,17637,44251,129055.26796679,163650193.8367692278464269897,6.28002281440758,7963.463770743555549852559799,0.0291525,36.967202896778268075,277897.28956035,352391235.3191733016162405005,0.10151727631111147,0.09322840060438391,0.09411598294459572
2018-03-04,43536,141,7991418,56676.7234042553,2.01553244,21798810910.31747013094719488,10815410593.74000061838692786,336347714414.905,0.00006749608750835,0.086549665893220522629245232,0.0000052,0.006667916308320384,1.01041643,1295.6484984215118649056,1762.5,3.78421656517803,2260038.941041284,1762.5,2260038.941041284,320.70200682,37.36305644597336,0.11186759351317262,1282.29159775392,,7.899093725291198,16999885.94520979,14970,40764,53008.35536962,67972168.7012176143634039104,3.0836222760129,3954.102935178160839932945568,0.03296031,42.2647285723645069152,125700.77845939,161185052.0496027336419333088,0.10150159528339392,0.09256965668756029,0.09415360379205996
2018-03-05,50721,142,13167492,92728.8169014085,1.99116179,21542976777.84356950739483117,10819299990.69747185889118769,367536977728.871,0.0000442370536171084,0.05605321867461977761927784311,0.000002,0.00253422025615836,1.7293149,2191.232424428234353782,1775,3.81065710043193,2249120.4773405445,1775,2249120.4773405445,101.84952709,37.21972048812188,0.10979526935992087,1267.11012807918,,0.40809679227099876,17001660.94520979,39092,45339,166929.20851534,211517690.7820286120937646212,9.08883343330223,11516.55289576192194923431057,0.05731449,72.6237707646928813182,412078.61903249,522148991.7409500251137125582,0.10087235215871186,0.09195835255713328,0.09373884303090978
2018-03-06,50838,146,9281291,63570.4863013699,1.8883559,20422540753.40266889866776673,10814985018.19803833803782869,362365137919.229,0.0000722053252010867,0.0867243458949259588950516292,0.00000522,0.0062696357133047064,1.35551057,1628.0761454854442827484,1825,3.91757903142009,2191970.340379519,1825,2191970.340379519,154.78992319,35.65728034880137,0.11249186806958567,1201.07963856412,,3.475275926610591,17003485.94520979,18773,46173,109848.79115097,131937146.3723125510129451964,4.70715517476187,5653.668235968213932989726104,0.0404,48.523617397990448,217343.47588428,261046823.4593605539064800336,0.10094224615355629,0.09117421269707149,0.09382061848638173
2018-03-07,47686,146,8609360,58968.2191780822,1.7183896,18565330702.00488709564653876,10803912413.99579474764566176,359283661270.297,0.000102634451101221,0.1120498491472547776757928076,0.00000461,0.0050329085314580042,1.79877139,1963.7856561547880567158,1825,3.91715859913541,1992420.4056205765,1825,1992420.4056205765,165.45207165,32.700311114964,0.11024213193635943,1091.73720855922,,24.629181839126186,17005310.94520979,17526,46788,102780.88860162,112209720.4151687716007579364,4.06879445211593,4442.054297354286344035710375,0.02764429,30.1802999972015598538,190370.7548256,207834836.464612204438372032,0.10098550345136359,0.07642510300603994,0.09408078249938259
2018-03-08,48898,147,8970475,61023.6394557823,1.62725502,17554376501.43760471383306491,10787723026.56835201928912399,360316221533.238,0.0000797095100495815,0.08227427159016708202681012534,0.0000039,0.004025487786865857,1.49511128,1543.2185122167637557864,1837.5,3.94356233298419,1896624.053427182625,1837.5,1896624.053427182625,112.78638657,31.325767976464014,0.11062419710671055,1032.17635560663,,6.42141382837757,17007148.44520979,18757,47156,150790.79100581,155642689.1194179671704045203,5.46356363739524,5639.361203871522126903274441,0.03,30.9652906681989,257639.80688501,265929716.9297655619892036163,0.10103172354395026,0.07511983536106454,0.09420736667312099
2018-03-09,60485,141,12267757,87005.3687943262,1.67978243,18089346725.52866898054157493,10768862908.15396566700960656,390526380541.897,0.0000649389897765599,0.06906402801788933676588358286,0.00000454,0.0048283887427271852,1.23228227,1310.5589956674673499926,1762.5,3.78220864388249,1874457.08349265725,1762.5,1874457.08349265725,126.21718645,32.464771863704684,0.11462662160620721,1063.52174949938,,10.553437331313296,17008910.94520979,18976,45399,134759.07222892,143319204.2578143122707580696,5.33612613199982,5675.086199453808101883250112,0.03099611,32.9650371348752274118,242254.79026666,257643238.3690036167517046708,0.10097373761121314,0.07526239658979297,0.09425612513650464
2018-03-10,42781,151,8580106,56821.8940397351,1.58115958,17010207077.77531483467279365,10758058390.21042257395948973,360701439777.954,0.0000902943117105545,0.09029117269767183263629070552,0.0000039,0.0038998644194743779,1.26529419,1265.25020301247518223959,1887.5,4.05000095803265,1887434.3825020226375,1887.5,1887434.3825020226375,248.50371402,30.704978632941103,0.11380622081977482,999.965235762661,,-21.46341313938187,17010798.44520979,14013,40780,68452.8942041,68450514.4914393472100931101,3.45935345274203,3459.233190957559386948739342,0.02135165,21.35090772617182074065,141072.43380282,141067529.527249288399192504,0.10108625411228102,0.055048387047657486,0.0944589446176892
2018-03-11,46583,144,9115652,63303.1388888889,1.78659286,19236580375.97898556019575047,10767187518.09127637634221891,391560320672.545,0.0000629016192943153,0.07112447044649008192054188206,0.00000452,0.0051108796565939756,0.89848673,1015.9419358576646182619,1800,3.86184392769813,2035306.057935654,1800,2035306.057935654,157.3716417,34.891109981628055,0.11885440482723339,1130.72558774203,,-12.9956744225969,17012598.44520979,14284,41632,108104.60043223,122236637.8613505771277376269,4.71445899244547,5330.759415118602637405202104,0.01814858,20.5210637871832508174,196272.35677349,221930175.9702178831852627847,0.10143356630380834,0.059845177291915956,0.09202907343927454
2018-03-12,45481,142,9458230,66607.2535211268,1.66223656,17889813968.33441643413843538,10762495758.63979521620070087,365887089027.409,0.0000766902582738481,0.08063620198068040714630204707,0.00000636,0.0066872410673835408,1.18179688,1242.6038725222858932064,1775,3.80780992074911,1866329.071478897,1775,1866329.071478897,199.29830312,32.81000575461439,0.11493939884046124,1051.45299801628,,-15.259046941753365,17014373.44520979,15410,40247,85371.39142044,89764005.4538429627314447632,3.98306414948369,4188.004741265790286956214473,0.02495732,26.2414489364516651696,160306.38282427,168554626.8217241865738391156,0.10150995483165694,0.06066618601233909,0.08998856245558697
